CreateMoji: string='2階 フリーアクセスフロア割付図', dSizeY=2.187500, nMojiShu=0, layer='hk003-文字', x=-128.482837, y=-186.597591
CreateMoji: string='2E2260', dSizeY=5.000000, nMojiShu=0, layer='hk003-文字', x=-64.117172, y=-190.789742
CreateMoji: string='2E2260', dSizeY=1.875000, nMojiShu=0, layer='hk003-文字', x=-44.644065, y=-197.101181
CreateMoji: string='0', dSizeY=4.375000, nMojiShu=0, layer='hk003-文字', x=-35.369846, y=-192.049313
CreateMoji: string='A500RA', dSizeY=2.187500, nMojiShu=0, layer='hk003-文字', x=-155.518211, y=-180.484202
CreateMoji: string='H=200mm(仕上天端)', dSizeY=2.187500, nMojiShu=0, layer='hk003-文字', x=-162.222282, y=-186.981645
CreateMoji: string='1', dSizeY=0.937500, nMojiShu=0, layer='hk003-文字', x=-385.964468, y=-181.293234
CreateMoji: string='2', dSizeY=0.937500, nMojiShu=0, layer='hk003-文字', x=-385.964468, y=-184.418231
CreateMoji: string='3', dSizeY=0.937500, nMojiShu=0, layer='hk003-文字', x=-385.964468, y=-187.543215
CreateMoji: string='4', dSizeY=0.937500, nMojiShu=0, layer='hk003-文字', x=-385.964468, y=-190.668219
CreateMoji: string='5', dSizeY=0.937500, nMojiShu=0, layer='hk003-文字', x=-385.964468, y=-193.793218
CreateMoji: string='タジマセイデンタイルC', dSizeY=1.562500, nMojiShu=0, layer='hk003-文字', x=-161.068747, y=-192.928519
CreateMoji: string='※塗床塗装を施工される場合は、塗床メーカーの施工要領書に基づき施工された床が支給されるものとします。', dSizeY=1.750000, nMojiShu=0, layer='hk003-文字', x=-385.285221, y=-174.018948
CreateMoji: string='1)　　　　印部は、床板割付基準を示す。', dSizeY=1.750000, nMojiShu=0, layer='hk003-文字', x=-317.140288, y=-181.186134
CreateMoji: string='2)        出入り口は、補強脚を設置のこと。', dSizeY=1.750000, nMojiShu=0, layer='hk003-文字', x=-317.140288, y=-184.311136
CreateMoji: string='3)　　    印部は、床板切欠合せ部を示す。 ', dSizeY=1.750000, nMojiShu=0, layer='hk003-文字', x=-317.140288, y=-187.436112
CreateMoji: string='X1', dSizeY=4.500000, nMojiShu=10, layer='075_4-A_通芯符号', x=-305.553833, y=46.506756
CreateMoji: string='X2', dSizeY=4.500000, nMojiShu=10, layer='075_4-A_通芯符号', x=-245.553833, y=46.506756
CreateMoji: string='Y4', dSizeY=4.500000, nMojiShu=10, layer='075_4-A_通芯符号', x=-352.255127, y=16.934191
CreateMoji: string='Y3', dSizeY=4.500000, nMojiShu=10, layer='075_4-A_通芯符号', x=-352.255127, y=-1.815809
CreateMoji: string='Y2', dSizeY=4.500000, nMojiShu=10, layer='075_4-A_通芯符号', x=-352.255127, y=-72.128309
CreateMoji: string='Y1', dSizeY=4.500000, nMojiShu=10, layer='075_4-A_通芯符号', x=-352.255127, y=-142.440809
CreateMoji: string='2階 フリーアクセスフロア割付図 S=1:50', dSizeY=4.375000, nMojiShu=0, layer='文字室名', x=-316.730301, y=-165.061866
CreateMoji: string='タイル模様方向を示す', dSizeY=1.875000, nMojiShu=0, layer='A-_005-割付基準', x=-316.400125, y=28.840799
CreateMoji: string='ダム操作室', dSizeY=3.000000, nMojiShu=0, layer='文字室名', x=-236.214625, y=-82.853168
CreateMoji: string='通信機械室', dSizeY=3.000000, nMojiShu=0, layer='文字室名', x=-237.540794, y=26.201803
